Tenure,CityTier,Gender,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Churn
0.5053195481928564,3.0,0.0,3.0,3.0,2.0,0.8824357776518403,1.0,1.0,0.7094917059851921,0.4384269288451925,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.3183313678457733,1.0,1.0,3.0,4.0,3.0,0.7458709416978777,1.0,1.0,0.0,0.22162972837860362,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.3183313678457733,1.0,1.0,2.0,4.0,3.0,0.6675930426711991,1.0,1.0,0.5984084805885755,0.21818585791257017,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,3.0,1.0,2.0,4.0,5.0,0.8170067533818015,0.0,1.0,0.5984084805885755,0.2947842026328945,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,1.0,2.0,3.0,5.0,0.36132088562135234,0.0,1.0,0.5984084805885755,0.2699550074987502,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,1.0,0.0,3.0,5.0,5.0,0.21235725311019937,1.0,6.0,0.7937005259840999,0.32322390712659,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.3183313678457733,3.0,1.0,2.0,3.0,2.0,0.4799106264015933,0.0,1.0,0.0,0.22140754318724667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.3183313678457733,1.0,1.0,3.0,3.0,2.0,0.36132088562135234,1.0,2.0,0.0,0.23290562683997118,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.7485035874053629,3.0,1.0,3.0,4.0,3.0,0.21235725311019937,1.0,1.0,0.5227579585747102,0.2545686829972783,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.3183313678457733,1.0,1.0,2.0,5.0,3.0,0.21235725311019937,0.0,1.0,0.4149132666831218,0.23290562683997118,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
